iter	Passed	Remaining
320	795	6638
321	797	6629
322	798	6620
323	800	6611
324	802	6602
325	803	6593
326	805	6584
327	807	6575
328	808	6566
329	810	6559
330	812	6551
331	814	6542
332	815	6533
333	817	6526
334	819	6518
335	821	6509
336	822	6502
337	824	6493
338	826	6484
339	827	6477
340	829	6470
341	831	6462
342	833	6457
343	835	6451
344	837	6444
345	839	6439
346	841	6433
347	843	6426
348	845	6423
349	847	6417
350	849	6410
351	851	6406
352	853	6398
353	855	6392
354	857	6388
355	859	6382
356	861	6375
357	863	6374
358	865	6368
359	867	6363
360	869	6359
361	872	6354
362	874	6354
363	876	6350
364	879	6346
365	881	6341
366	882	6334
367	886	6339
368	888	6334
369	891	6333
370	893	6333
371	896	6335
372	899	6331
373	902	6338
374	905	6338
375	909	6348
376	915	6369
377	918	6367
378	920	6366
379	922	6362
380	925	6359
381	927	6355
382	931	6364
383	934	6364
384	936	6362
385	939	6360
386	941	6356
387	943	6354
388	945	6348
389	948	6348
390	951	6346
391	954	6349
392	956	6346
393	959	6344
394	961	6340
395	963	6334
396	966	6338
397	968	6333
398	972	6339
399	974	6336
400	978	6340
401	980	6333
402	983	6339
403	986	6337
404	989	6337
405	990	6331
406	992	6325
407	995	6323
408	997	6317
409	999	6315
410	1001	6310
411	1003	6304
412	1006	6306
413	1008	6300
414	1011	6298
415	1013	6295
416	1016	6299
417	1019	6297
418	1022	6301
419	1025	6297
420	1027	6295
421	1029	6291
422	1031	6284
423	1034	6287
424	1037	6283
425	1039	6281
426	1041	6276
427	1043	6272
428	1045	6268
429	1048	6265
430	1050	6264
431	1052	6258
432	1054	6251
433	1056	6246
434	1058	6240
435	1060	6234
436	1062	6229
437	1063	6223
438	1065	6216
439	1067	6212
440	1069	6206
441	1071	6200
442	1073	6195
443	1074	6188
444	1077	6184
445	1078	6178
446	1080	6172
447	1082	6165
448	1084	6159
449	1086	6154
450	1087	6149
451	1090	6146
452	1092	6141
453	1094	6135
454	1108	6199
455	1110	6193
456	1111	6186
457	1113	6182
458	1115	6175
459	1117	6168
460	1119	6165
461	1121	6160
462	1123	6153
463	1125	6150
464	1127	6144
465	1128	6137
466	1131	6134
467	1132	6128
468	1134	6121
469	1136	6116
470	1138	6111
471	1139	6104
472	1141	6100
473	1143	6095
474	1145	6089
475	1148	6088
476	1150	6083
477	1152	6078
478	1154	6075
479	1156	6069
480	1157	6064
481	1160	6061
482	1162	6056
483	1164	6052
484	1166	6049
485	1168	6043
486	1170	6040
487	1172	6034
488	1174	6028
489	1176	6025
490	1178	6020
491	1180	6015
492	1182	6011
493	1183	6005
494	1185	5999
495	1187	5995
496	1189	5990
497	1191	5984
498	1193	5980
499	1195	5975
500	1196	5969
501	1198	5964
502	1200	5959
503	1202	5953
504	1204	5949
505	1206	5944
506	1207	5938
507	1211	5942
508	1213	5938
509	1215	5935
510	1217	5931
511	1220	5928
512	1222	5927
513	1224	5923
514	1227	5920
515	1229	5918
516	1231	5914
517	1234	5912
518	1236	5909
519	1238	5905
520	1240	5900
521	1241	5894
522	1243	5889
523	1245	5883
524	1246	5878
525	1249	5874
526	1251	5871
527	1252	5866
528	1254	5861
529	1256	5856
530	1258	5852
531	1260	5848
532	1262	5842
533	1263	5836
534	1265	5830
535	1267	5825
536	1268	5819
537	1270	5813
538	1272	5807
539	1273	5801
540	1275	5795
541	1276	5790
542	1278	5784
543	1280	5779
544	1281	5773
545	1283	5768
546	1285	5763
547	1287	5758
548	1288	5753
549	1290	5748
550	1292	5742
551	1293	5737
552	1295	5732
553	1297	5727
554	1299	5723
555	1300	5718
556	1302	5713
557	1304	5708
558	1306	5703
559	1307	5698
560	1309	5693
561	1311	5687
562	1312	5682
563	1314	5678
564	1316	5672
565	1317	5667
566	1319	5662
567	1321	5657
568	1322	5651
569	1324	5646
570	1326	5641
571	1327	5636
572	1329	5632
573	1331	5628
574	1333	5625
575	1335	5621
576	1337	5617
577	1339	5613
578	1341	5609
579	1343	5605
580	1345	5602
581	1347	5599
582	1349	5595
583	1351	5592
584	1354	5590
585	1356	5587
586	1358	5584
587	1360	5580
588	1362	5577
589	1365	5575
590	1367	5572
591	1369	5571
592	1372	5569
593	1374	5567
594	1376	5565
595	1378	5561
596	1380	5558
597	1382	5554
598	1384	5551
599	1387	5548
600	1389	5544
601	1390	5540
602	1392	5536
603	1394	5532
604	1396	5528
605	1398	5525
606	1400	5521
607	1402	5518
608	1404	5515
609	1406	5511
610	1409	5509
611	1411	5506
612	1413	5502
613	1415	5499
614	1417	5495
615	1419	5492
616	1421	5490
617	1423	5487
618	1426	5487
619	1428	5485
620	1432	5487
621	1435	5486
622	1437	5484
623	1439	5480
624	1440	5475
625	1443	5473
626	1445	5469
627	1447	5465
628	1449	5462
629	1451	5459
630	1453	5456
631	1455	5452
632	1456	5447
633	1458	5444
634	1460	5440
635	1462	5436
636	1464	5432
637	1467	5433
638	1469	5428
639	1471	5426
640	1473	5421
641	1475	5419
642	1478	5420
643	1480	5417
644	1483	5415
645	1484	5410
646	1486	5407
